guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-at-amit-shah-s-mega-roadshow-in-kolkata-a-scene-from-ramayana/story-OWulqZz7qiqqg8TFagNoYJ.html',"b'Lok Sabha elections 2019: At mega roadshow in Kolkata, Amit Shah makes a point with...'","b'Tue, 14 May 2019 12:34:52 GMT '",b'Amit Shah\xe2\x80\x99s rally started at around 4.30 pm from Esplanade area in central Kolkata to Swami Vivekananda\xe2\x80\x99s house in north Kolkata.',b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-at-amit-shah-s-mega-roadshow-in-kolkata-a-scene-from-ramayana/story-OWulqZz7qiqqg8TFagNoYJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/_478cc66e-7640-11e9-b041-b8edd22396b2.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-can-t-win-polls-so-competing-to-abuse-me-says-pm-modi-after-aiyar-jibe/story-HIzWq22uXcHbHcnTFjczWL.html',"b""Lok Sabha elections 2019: 'Can't win polls, so competing to abuse me,' says PM Modi...""","b'Tue, 14 May 2019 12:30:57 GMT '","b'In an opinion piece that was first published by the Jammu and Kashmir-based Rising Kashmir newspaper, Mani Shankar Aiyar prophesized PM Modi-led BJP\xe2\x80\x99s defeat in the ongoing Lok Sabha elections.'",b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-can-t-win-polls-so-competing-to-abuse-me-says-pm-modi-after-aiyar-jibe/story-HIzWq22uXcHbHcnTFjczWL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/lok-sabha-polls-campaign_a3b6a7e8-7636-11e9-9ebe-bd8a57c16f3e.jpg
b'https://www.hindustantimes.com/business-news/jet-airways-ceo-vinay-dube-resigns/story-KG5opWNhIEXBfJXylRbrRM.html',b'Crisis-hit Jet Airways loses its CEO and CFO on same day',"b'Tue, 14 May 2019 12:30:35 GMT '","b'The debt-strapped company said CEO Vinay Dube and CFO Amit Agarwal resigned due to personal reasons, without providing further details.'",b'https://www.hindustantimes.com/business-news/jet-airways-ceo-vinay-dube-resigns/story-KG5opWNhIEXBfJXylRbrRM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/conference-photo-speaks-airways-aviation-vinay-mumbai_e19f3cfc-7643-11e9-b041-b8edd22396b2.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/bengal-bjp-leader-jailed-for-sharing-morphed-photo-of-mamata-banerjee-given-bail-sc-says-she-must-apologise/story-HUZgFFGEQ61dFf2spq5HSJ.html',"b'BJP leader jailed for meme gets bail from SC, ordered to apologise to Mamata Ba...'","b'Tue, 14 May 2019 10:23:13 GMT '",b'Priyanka Sharma\xe2\x80\x99s plea was mentioned before the bench for an urgent hearing on Monday. The court had agreed to hear it on Tuesday.',b'https://www.hindustantimes.com/lok-sabha-elections/bengal-bjp-leader-jailed-for-sharing-morphed-photo-of-mamata-banerjee-given-bail-sc-says-she-must-apologise/story-HUZgFFGEQ61dFf2spq5HSJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/sc_9fc0a1ee-7612-11e9-9073-657a85982e73.jpg
b'https://www.hindustantimes.com/cricket/ipl-final-harbhajan-singh-reveals-shane-watson-batted-through-bloodied-leg-in-final-vs-mumbai-indians/story-oPLr4fogHVLlI55xI3maII.html',b'IPL&thinsp;final: Harbhajan Singh reveals Shane Watson batted through bloodied leg in final...',"b'Tue, 14 May 2019 10:07:42 GMT '",b'Watson was on fire in the finals and almost pulled off the chase single-handedly with his innings of 80 off 59 balls for Chennai.',b'https://www.hindustantimes.com/cricket/ipl-final-harbhajan-singh-reveals-shane-watson-batted-through-bloodied-leg-in-final-vs-mumbai-indians/story-oPLr4fogHVLlI55xI3maII.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/_e002fe34-75f7-11e9-9ebe-bd8a57c16f3e.PNG
b'https://www.hindustantimes.com/world-news/sex-for-six-days-six-times-alibaba-founder-jack-ma-s-advise-to-employees/story-myzuk50TMHxnxnfsDYhHJK.html',"b""'Sex for six days, six times': Alibaba founder Jack Ma's advice to employees""","b'Tue, 14 May 2019 09:28:36 GMT '","b'After advocating people to follow the spirit of \xe2\x80\x9c996\xe2\x80\x9d (9 am to 9 pm, six days a week at workplace), Alibaba founder Jack Ma now has given another advice for an improved life: Follow the spirit of \xe2\x80\x9c669\xe2\x80\x9d (sex for six days, six times, with duration being the key).'",b'https://www.hindustantimes.com/world-news/sex-for-six-days-six-times-alibaba-founder-jack-ma-s-advise-to-employees/story-myzuk50TMHxnxnfsDYhHJK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/jack-ma_0899e28a-7621-11e9-9ebe-bd8a57c16f3e.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-pm-s-boat-is-sinking-says-mayawati-in-attack-at-modi/story-MJ0TYm0bjAIltIj7pRlzcO.html',"b""In Mayawati's 'sinking ship' jibe at Modi, a claim about RSS' stand on PM""","b'Tue, 14 May 2019 07:36:44 GMT '",b'BSP chief Mayawati said it the RSS has stopped supporting Prime Minister Narendra Modi in the 2019 election campaign.',b'https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-pm-s-boat-is-sinking-says-mayawati-in-attack-at-modi/story-MJ0TYm0bjAIltIj7pRlzcO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/akhilesh-gorakhpur-mayawati-joint-election-singh-during_ef66a60a-761a-11e9-9ebe-bd8a57c16f3e.jpg
b'https://www.hindustantimes.com/india-news/woman-staff-thrashed-by-employer-for-demanding-pay-video-goes-viral/story-dvZkdlY3LzQTalrkuNbT3H.html',b'Woman in Greater Noida allegedly thrashed by employer over salary dispute',"b'Tue, 14 May 2019 04:20:08 GMT '","b'A purported video of the incident, in which the suspects are seen kicking the woman and pulling her by hair, went viral on social media. The salon owner was arrested on Monday evening, two days after the incident on Saturday.'",b'https://www.hindustantimes.com/india-news/woman-staff-thrashed-by-employer-for-demanding-pay-video-goes-viral/story-dvZkdlY3LzQTalrkuNbT3H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/_fa21c630-75eb-11e9-b041-b8edd22396b2.jpg
b'https://www.hindustantimes.com/analysis/make-forest-creation-on-degraded-and-private-village-land-a-priority/story-1GY6JYcNm4pEuyagQcDRvM.html',b'Make forest creation on degraded and private village land a priority',"b'Tue, 14 May 2019 03:51:02 GMT '",b'Sacred groves could add lakhs of hectares to India\xe2\x80\x99s green cover and restore our depleting natural wealth.',b'https://www.hindustantimes.com/analysis/make-forest-creation-on-degraded-and-private-village-land-a-priority/story-1GY6JYcNm4pEuyagQcDRvM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/14/Pictures/pine-forest-pach-exploitation_0cf6e948-75fb-11e9-b041-b8edd22396b2.jpg
b'https://www.hindustantimes.com/columns/little-voter-enthusiasm-this-election/story-aRVpWDMqN2TS342uPOdxyK.html',b'Little voter enthusiasm this election',"b'Mon, 13 May 2019 02:26:42 GMT '","b'Whatever the results of the  Lok Sabha elections, they will not be due to the full participation of the people.'",b'https://www.hindustantimes.com/columns/little-voter-enthusiasm-this-election/story-aRVpWDMqN2TS342uPOdxyK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/10/Pictures/school-mumbai-monday-praful-singhania-gangurde-polling_92f6f07e-7308-11e9-817d-3278e204c144.jpg
